CPS Name,Lit. Name,system_name,sysname,cps_identifier,comp_ind,Msini,Msini_high,Msini_low,a,a_high,a_low,ecc,ecc_high,ecc_low,teff,teff_err,feh,feh_err,logg,logg_err,Rstar,Rstar_err,Mstar,Mstar_err,Vmag,BV_color,parallax
HD 219134 f,HD 219134 f,HD 219134,HD219134,219134,1,0.0112,0.0014,0.0014,0.06466,0.00073,0.00073,0.16,0.12,0.11,4817.1,62.0,0.083,0.058,4.575,0.021,0.757,0.013,0.788,0.027,6.4869,1.01,0.15308
HD 219134 e,HD 219134 e,HD 219134,HD219134,219134,2,0.0243,0.0023,0.0022,0.1453,0.0016,0.0016,0.072,0.078,0.051,4817.1,62.0,0.083,0.058,4.575,0.021,0.757,0.013,0.788,0.027,6.4869,1.01,0.15308
HD 219134c,HD 219134c,HD 219134,HD219134,219134,3,0.0516,0.0032,0.003,0.2346,0.0026,0.0027,0.077,0.055,0.05,4817.1,62.0,0.083,0.058,4.575,0.021,0.757,0.013,0.788,0.027,6.4869,1.01,0.15308
HD 219134 b,HD 219134 b,HD 219134,HD219134,219134,4,0.308,0.014,0.014,2.968,0.037,0.037,0.025,0.027,0.018,4817.1,62.0,0.083,0.058,4.575,0.021,0.757,0.013,0.788,0.027,6.4869,1.01,0.15308
HD 22049 b,eps Eri b,HD 22049,HD22049,22049,0,0.651,0.039,0.039,3.5,0.039,0.04,0.044,0.047,0.031,5020.4,57.7,-0.044,0.058,4.59,0.018,0.759,0.012,0.815,0.024,6.192,0.88,0.31094
HD 222582 b,HD 222582 b,HD 222582,HD222582,222582,0,7.88,0.24,0.24,1.335,0.02,0.02,0.7615,0.0035,0.0034,5746.7,91.8,0.017,0.061,4.305,0.031,1.145,0.027,0.969,0.043,4.5865,0.6,0.02369
HD 24040c,HD 24040c,HD 24040,HD24040,24040,0,0.201,0.027,0.027,1.3,0.021,0.021,0.11,0.12,0.079,5776.5,84.6,0.197,0.059,4.197,0.029,1.387,0.031,1.104,0.053,4.1822,0.66,0.02142
HD 24040 b,HD 24040 b,HD 24040,HD24040,24040,1,4.05,0.15,0.15,4.708,0.076,0.077,0.0117,0.011,0.0082,5776.5,84.6,0.197,0.059,4.197,0.029,1.387,0.031,1.104,0.053,4.1822,0.66,0.02142
HD 26161 b,HD 26161 b,HD 26161,HD26161,26161,0,13.5,8.5,3.7,20.4,7.9,4.9,0.82,0.061,0.05,6057.6,87.6,-0.009,0.059,4.163,0.027,1.456,0.032,1.133,0.054,3.8946,0.501,0.02441
HD 28185 b,HD 28185 b,HD 28185,HD28185,28185,0,6.04,0.2,0.2,1.045,0.016,0.018,0.0629,0.0042,0.0049,5622.0,93.8,0.227,0.061,4.383,0.034,1.076,0.025,1.023,0.05,4.8139,0.75,0.02536
HD 28185,HD 28185,HD 28185,HD28185,28185,0,40.0,43.0,28.0,15.9,7.3,5.1,0.26,0.12,0.093,5622.0,93.8,0.227,0.061,4.383,0.034,1.076,0.025,1.023,0.05,4.8139,0.75,0.02536
HD 285968 b,HD 285968 b,HD 285968,HD285968,285968,0,0.0285,0.0043,0.0043,0.06649,0.00042,0.00043,0.16,0.14,0.11,3703.5,32.1,0.147,0.081,4.784,0.009,0.478,0.008,0.509,0.01,10.0998,1.51,0.10556
HD 31253 b,HD 31253 b,HD 31253,HD31253,31253,0,0.446,0.063,0.063,1.296,0.024,0.025,0.44,0.12,0.17,6014.9,81.7,0.14,0.058,4.032,0.03,1.829,0.042,1.325,0.073,3.4852,0.53,0.01717
HD 32963 b,HD 32963 b,HD 32963,HD32963,32963,0,0.726,0.036,0.035,3.416,0.058,0.059,0.069,0.04,0.039,5706.1,92.6,0.075,0.061,4.336,0.032,1.111,0.026,0.981,0.046,4.8551,0.63,0.02623
HD 33636 b,HIP 24205 b,HD 33636,HD33636,33636,0,8.92,0.29,0.3,3.238,0.051,0.053,0.491,0.005,0.0049,5949.3,90.3,-0.071,0.061,4.409,0.031,1.04,0.024,1.017,0.049,4.7957,0.61,0.03372
HD 34445 b,HD 34445 b,HD 34445,HD34445,34445,0,0.658,0.04,0.04,2.106,0.038,0.04,0.103,0.059,0.056,5829.5,86.2,0.138,0.059,4.146,0.031,1.479,0.034,1.11,0.06,4.0537,0.62,0.02167
HD 3651 b,HD 3651 b,HD 3651,HD3651,3651,0,0.2202,0.0077,0.0077,0.2954,0.0043,0.0044,0.614,0.015,0.015,5205.9,74.5,0.168,0.06,4.505,0.03,0.872,0.017,0.888,0.039,5.5719,0.92,0.08979
HD 37124 b,HD 37124 b,HD 37124,HD37124,37124,0,0.65,0.016,0.016,0.5253,0.0032,0.0032,0.05,0.019,0.022,5698.6,48.7,-0.326,0.06,4.391,0.016,0.949,0.017,0.813,0.015,5.0714,0.67,0.03155
HD 37124c,HD 37124c,HD 37124,HD37124,37124,1,0.647,0.08,0.09,1.687,0.011,0.011,0.126,0.047,0.045,5698.6,48.7,-0.326,0.06,4.391,0.016,0.949,0.017,0.813,0.015,5.0714,0.67,0.03155
HD 37124 d,HD 37124 d,HD 37124,HD37124,37124,2,0.659,0.034,0.036,2.67,0.022,0.021,0.16,0.12,0.11,5698.6,48.7,-0.326,0.06,4.391,0.016,0.949,0.017,0.813,0.015,5.0714,0.67,0.03155
HD 3765 b,HIP 3206 b,HD 3765,HD3765,3765,0,0.173,0.014,0.013,2.108,0.032,0.033,0.298,0.078,0.071,5049.8,64.9,0.172,0.06,4.527,0.026,0.831,0.016,0.852,0.033,6.1734,0.94,0.05576
HD 38529c,HD 38529c,HD 38529,HD38529,38529,0,0.876,0.014,0.014,0.1329,0.00035,0.00035,0.26,0.014,0.015,5624.2,116.1,0.377,0.059,3.709,0.012,2.858,0.04,1.529,0.012,2.9671,0.77,0.02358
HD 38529 b,HD 38529 b,HD 38529,HD38529,38529,1,13.21,0.1,0.1,3.736,0.01,0.01,0.3545,0.0048,0.0047,5624.2,116.1,0.377,0.059,3.709,0.012,2.858,0.04,1.529,0.012,2.9671,0.77,0.02358
HD 40979 b,HD 40979 b,HD 40979,HD40979,40979,0,3.8,0.16,0.16,0.8669,0.0074,0.0076,0.251,0.028,0.028,6149.7,58.7,0.203,0.063,4.343,0.023,1.237,0.028,1.235,0.032,4.1316,0.522,0.02931
HD 4203 b,HD 4203 b,HD 4203,HD4203,4203,0,1.821,0.078,0.077,1.177,0.021,0.022,0.513,0.013,0.014,5625.1,77.6,0.38,0.056,4.146,0.032,1.497,0.034,1.137,0.063,4.2245,0.73,0.01226
HD 4203c,HD 4203c,HD 4203,HD4203,4203,1,2.68,0.99,0.24,7.8,5.4,0.78,0.19,0.29,0.089,5625.1,77.6,0.38,0.056,4.146,0.032,1.497,0.034,1.137,0.063,4.2245,0.73,0.01226
HD 4208 b,HD 4208 b,HD 4208,HD4208,4208,0,0.771,0.036,0.035,1.634,0.022,0.022,0.059,0.044,0.038,5669.8,76.2,-0.22,0.06,4.42,0.028,0.935,0.02,0.847,0.034,5.2172,0.67,0.02922
HD 42618 b,HD 42618 b,HD 42618,HD42618,42618,0,0.0478,0.0057,0.0056,0.5337,0.0089,0.009,0.27,0.13,0.12,5716.7,88.3,-0.086,0.06,4.409,0.033,0.989,0.023,0.92,0.046,5.0504,0.63,0.04106
HD 45184 b,HD 45184 b,HD 45184,HD45184,45184,0,0.0374,0.004,0.0038,0.0641,0.001,0.0011,0.18,0.1,0.1,5820.1,94.8,0.042,0.059,4.38,0.033,1.075,0.025,1.015,0.051,4.6543,0.64,0.04552
HD 45184c,HD 45184c,HD 45184,HD45184,45184,1,0.0345,0.0057,0.0059,0.1095,0.0018,0.0019,0.48,0.18,0.24,5820.1,94.8,0.042,0.059,4.38,0.033,1.075,0.025,1.015,0.051,4.6543,0.64,0.04552
HD 45350 b,HD 45350 b,HD 45350,HD45350,45350,0,1.821,0.075,0.07,1.958,0.029,0.03,0.794,0.012,0.012,5607.8,92.9,0.292,0.06,4.258,0.03,1.258,0.03,1.047,0.047,4.4313,0.74,0.02131
HD 46375 b,HD 46375 b,HD 46375,HD46375,46375,0,0.2267,0.0087,0.0087,0.03998,0.00059,0.0006,0.063,0.024,0.024,5264.4,74.1,0.271,0.06,4.485,0.031,0.914,0.019,0.933,0.042,5.2205,0.86,0.03381
HD 49674 b,HD 49674 b,HD 49674,HD49674,49674,0,0.1149,0.0083,0.0084,0.058,0.00082,0.00084,0.06,0.06,0.042,5628.4,82.7,0.3,0.06,4.426,0.03,1.044,0.022,1.064,0.046,5.0503,0.71,0.02321
HD 50499 b,HD 50499 b,HD 50499,HD50499,50499,0,1.346,0.084,0.087,3.847,0.038,0.04,0.348,0.046,0.045,5978.1,103.7,0.305,0.061,4.222,0.024,1.433,0.034,1.253,0.035,3.8486,0.575,0.02158
HD 50499c,HD 50499c,HD 50499,HD50499,50499,1,3.18,0.63,0.46,10.1,2.0,0.84,0.241,0.089,0.075,5978.1,103.7,0.305,0.061,4.222,0.024,1.433,0.034,1.253,0.035,3.8486,0.575,0.02158
HD 50554 b,HD 50554 b,HD 50554,HD50554,50554,0,4.35,0.19,0.18,2.265,0.035,0.036,0.459,0.019,0.018,5968.4,95.9,-0.021,0.062,4.333,0.032,1.146,0.026,1.037,0.049,4.4013,0.532,0.03206
HD 52265 b,HD 52265 b,HD 52265,HD52265,52265,0,1.108,0.031,0.031,0.506,0.0056,0.0056,0.213,0.013,0.014,6057.4,97.2,0.191,0.061,4.239,0.025,1.38,0.033,1.216,0.04,3.992,0.56,0.03333
HD 66428 b,HD 66428 b,HD 66428,HD66428,66428,0,3.19,0.11,0.11,3.455,0.049,0.05,0.418,0.015,0.014,5647.6,94.3,0.271,0.061,4.323,0.031,1.169,0.027,1.051,0.045,4.5468,0.715,0.01874
HD 66428c,HD 66428c,HD 66428,HD66428,66428,1,27.0,22.0,17.0,23.0,19.0,7.6,0.32,0.23,0.16,5647.6,94.3,0.271,0.061,4.323,0.031,1.169,0.027,1.051,0.045,4.5468,0.715,0.01874
HD 68988 b,HD 68988 b,HD 68988,HD68988,68988,0,1.915,0.053,0.054,0.07021,0.00096,0.001,0.1581,0.0027,0.0031,5883.4,103.8,0.305,0.057,4.309,0.03,1.256,0.029,1.172,0.049,4.3622,0.62,0.01641
HD 68988c,HD 68988c,HD 68988,HD68988,68988,1,15.0,2.8,1.5,13.2,5.3,2.0,0.45,0.13,0.081,5883.4,103.8,0.305,0.057,4.309,0.03,1.256,0.029,1.172,0.049,4.3622,0.62,0.01641
HD 69830 b,HD 69830 b,HD 69830,HD69830,69830,0,0.0323,0.0021,0.002,0.0794,0.0012,0.0013,0.112,0.054,0.06,5420.6,81.3,0.012,0.06,4.49,0.033,0.887,0.019,0.89,0.041,5.4672,0.78,0.07959
HD 69830c,HD 69830c,HD 69830,HD69830,69830,1,0.031,0.003,0.003,0.1882,0.0029,0.003,0.114,0.096,0.079,5420.6,81.3,0.012,0.06,4.49,0.033,0.887,0.019,0.89,0.041,5.4672,0.78,0.07959
HD 69830 d,HD 69830 d,HD 69830,HD69830,69830,2,0.0444,0.0054,0.0056,0.645,0.01,0.01,0.104,0.1,0.073,5420.6,81.3,0.012,0.06,4.49,0.033,0.887,0.019,0.89,0.041,5.4672,0.78,0.07959
HD 72659 b,HD 72659 b,HD 72659,HD72659,72659,0,2.85,0.12,0.12,4.652,0.067,0.068,0.269,0.018,0.026,5865.2,103.9,-0.01,0.061,4.094,0.03,1.522,0.036,1.053,0.044,3.9268,0.57,0.01924
HD 72659,HD 72659,HD 72659,HD72659,72659,0,230.0,730.0,190.0,49.0,24.0,19.0,0.21,0.19,0.14,5865.2,103.9,-0.01,0.061,4.094,0.03,1.522,0.036,1.053,0.044,3.9268,0.57,0.01924
HD 74156c,HD 74156c,HD 74156,HD74156,74156,0,1.745,0.061,0.061,0.2844,0.0049,0.0049,0.6536,0.0036,0.0038,5951.7,85.6,0.079,0.06,4.139,0.029,1.511,0.034,1.151,0.059,3.5703,0.54,0.01733
HD 74156 b,HD 74156 b,HD 74156,HD74156,74156,1,7.65,0.27,0.26,3.726,0.064,0.065,0.3691,0.0055,0.0055,5951.7,85.6,0.079,0.06,4.139,0.029,1.511,0.034,1.151,0.059,3.5703,0.54,0.01733
HD 75732 f,55 Cnc f,HD 75732,HD75732,75732,0,0.0295,0.0014,0.0013,0.01583,0.00024,0.00025,0.036,0.034,0.025,5317.9,80.5,0.383,0.055,4.458,0.032,0.964,0.021,0.975,0.045,5.46,0.87,0.07943
HD 75732 b,55 Cnc b,HD 75732,HD75732,75732,1,0.841,0.026,0.026,0.1162,0.0018,0.0018,0.0048,0.0036,0.0031,5317.9,80.5,0.383,0.055,4.458,0.032,0.964,0.021,0.975,0.045,5.46,0.87,0.07943
HD 75732c,55 Cnc c,HD 75732,HD75732,75732,2,0.171,0.0066,0.0067,0.2432,0.0037,0.0039,0.048,0.031,0.029,5317.9,80.5,0.383,0.055,4.458,0.032,0.964,0.021,0.975,0.045,5.46,0.87,0.07943
HD 75732 e,55 Cnc e,HD 75732,HD75732,75732,3,0.1475,0.0093,0.0094,0.792,0.012,0.013,0.142,0.06,0.066,5317.9,80.5,0.383,0.055,4.458,0.032,0.964,0.021,0.975,0.045,5.46,0.87,0.07943
HD 75732 d,55 Cnc d,HD 75732,HD75732,75732,4,2.86,0.25,0.25,5.54,0.1,0.1,0.139,0.015,0.016,5317.9,80.5,0.383,0.055,4.458,0.032,0.964,0.021,0.975,0.045,5.46,0.87,0.07943
HD 7924 b,HD 7924 b,HD 7924,HD7924,7924,0,0.0259,0.0014,0.0014,0.05596,0.00075,0.00079,0.049,0.044,0.035,5171.1,74.2,-0.123,0.058,4.555,0.026,0.78,0.015,0.802,0.033,6.0561,0.82,0.05882
HD 7924c,HD 7924c,HD 7924,HD7924,7924,1,0.0278,0.0019,0.0019,0.1121,0.0015,0.0016,0.1,0.069,0.062,5171.1,74.2,-0.123,0.058,4.555,0.026,0.78,0.015,0.802,0.033,6.0561,0.82,0.05882
HD 7924 d,HD 7924 d,HD 7924,HD7924,7924,2,0.126,0.013,0.012,3.51,0.1,0.096,0.278,0.081,0.082,5171.1,74.2,-0.123,0.058,4.555,0.026,0.78,0.015,0.802,0.033,6.0561,0.82,0.05882
HD 80606 b,HD 80606 b,HD 80606,HD80606,80606,0,4.16,0.13,0.13,0.4602,0.0069,0.007,0.93043,0.00068,0.00069,5565.9,92.2,0.348,0.058,4.402,0.032,1.066,0.024,1.047,0.048,5.0988,0.72,0.0153
HD 82943 b,HD 82943 b,HD 82943,HD82943,82943,0,1.652,0.085,0.076,0.747,0.011,0.011,0.421,0.014,0.015,5918.3,95.2,0.23,0.061,4.337,0.03,1.199,0.027,1.148,0.05,4.3447,0.64,0.03622
HD 82943c,HD 82943c,HD 82943,HD82943,82943,1,1.539,0.052,0.052,1.189,0.017,0.017,0.142,0.042,0.046,5918.3,95.2,0.23,0.061,4.337,0.03,1.199,0.027,1.148,0.05,4.3447,0.64,0.03622
HD 83443 b,HD 83443 b,HD 83443,HD83443,83443,0,0.409,0.019,0.019,0.04067,0.0006,0.00062,0.074,0.031,0.032,5429.2,87.2,0.375,0.057,4.427,0.032,1.015,0.022,1.007,0.045,5.0458,0.79,0.02442
HD 8574 b,HD 8574 b,HD 8574,HD8574,8574,0,1.765,0.075,0.073,0.75,0.012,0.012,0.306,0.022,0.022,6004.1,87.3,-0.01,0.06,4.169,0.029,1.423,0.033,1.091,0.053,3.8953,0.577,0.02228
HD 87883 b,HD 87883 b,HD 87883,HD87883,87883,0,2.292,0.069,0.069,4.073,0.056,0.057,0.7121,0.0083,0.0079,4989.4,67.1,0.104,0.057,4.549,0.024,0.799,0.014,0.826,0.032,6.2864,0.96,0.05464
HD 90156 b,HD 90156 b,HD 90156,HD90156,90156,0,0.037,0.0062,0.006,0.2508,0.0037,0.0037,0.16,0.18,0.11,5629.6,80.5,-0.18,0.06,4.44,0.03,0.92,0.02,0.856,0.038,5.2256,0.625,0.04553
HD 92788 b,HD 92788 b,HD 92788,HD92788,92788,0,3.52,0.1,0.1,0.949,0.013,0.013,0.3552,0.007,0.0072,5702.3,92.4,0.277,0.061,4.338,0.03,1.162,0.027,1.076,0.044,4.7626,0.694,0.02883
HD 92788c,HD 92788c,HD 92788,HD92788,92788,1,2.81,0.18,0.17,8.26,0.37,0.28,0.355,0.057,0.052,5702.3,92.4,0.277,0.061,4.338,0.03,1.162,0.027,1.076,0.044,4.7626,0.694,0.02883
HD 95128 b,47 UMa b,HD 95128,HD95128,95128,0,2.438,0.086,0.085,2.059,0.031,0.033,0.016,0.0076,0.008,5829.2,94.8,0.026,0.061,4.328,0.032,1.137,0.027,1.005,0.047,4.3575,0.56,0.07245
HD 95128c,47 UMa c,HD 95128,HD95128,95128,1,0.497,0.032,0.03,3.403,0.055,0.056,0.179,0.09,0.092,5829.2,94.8,0.026,0.061,4.328,0.032,1.137,0.027,1.005,0.047,4.3575,0.56,0.07245
HD 95128 d,47 UMa d,HD 95128,HD95128,95128,2,1.51,0.22,0.18,13.8,4.8,2.1,0.38,0.16,0.15,5829.2,94.8,0.026,0.061,4.328,0.032,1.137,0.027,1.005,0.047,4.3575,0.56,0.07245
HD 95735c,GJ 411 c,HD 95735,HD95735,95735,0,0.00882,0.00092,0.00098,0.07892,0.00055,0.00054,0.095,0.099,0.066,3719.9,28.3,-0.361,0.082,4.895,0.009,0.369,0.007,0.392,0.008,10.4586,1.51,0.39264
HD 95735 b,GJ 411 b,HD 95735,HD95735,95735,1,0.0568,0.0091,0.0083,3.1,0.13,0.11,0.14,0.16,0.095,3719.9,28.3,-0.361,0.082,4.895,0.009,0.369,0.007,0.392,0.008,10.4586,1.51,0.39264
HD 97101c,HD 97101c,HD 97101,HD97101,97101,0,0.0322,0.0043,0.0038,0.2403,0.0017,0.0017,0.28,0.13,0.13,4205.9,39.6,0.243,0.072,4.625,0.012,0.67,0.008,0.695,0.015,7.9275,1.36,0.08408
HD 97101 b,HD 97101 b,HD 97101,HD97101,97101,1,0.184,0.01,0.011,1.424,0.011,0.011,0.185,0.069,0.073,4205.9,39.6,0.243,0.072,4.625,0.012,0.67,0.008,0.695,0.015,7.9275,1.36,0.08408
HD 97658 b,HD 97658 b,HD 97658,HD97658,97658,0,0.0247,0.0018,0.0017,0.0805,0.001,0.0011,0.063,0.061,0.044,5194.0,67.4,-0.228,0.057,4.567,0.024,0.754,0.013,0.772,0.03,6.1382,0.8,0.04635
HD 9826 b,ups And b,HD 9826,HD9826,9826,0,0.675,0.016,0.016,0.05914,0.00062,0.00063,0.0069,0.0072,0.0046,6156.8,112.2,0.122,0.063,4.125,0.025,1.622,0.039,1.294,0.041,3.4535,0.54,0.07412
HD 9826c,ups And c,HD 9826,HD9826,9826,1,1.965,0.049,0.05,0.8265,0.0087,0.0088,0.266,0.012,0.012,6156.8,112.2,0.122,0.063,4.125,0.025,1.622,0.039,1.294,0.041,3.4535,0.54,0.07412
HD 9826 d,ups And d,HD 9826,HD9826,9826,2,4.1,0.1,0.1,2.518,0.026,0.027,0.294,0.011,0.012,6156.8,112.2,0.122,0.063,4.125,0.025,1.622,0.039,1.294,0.041,3.4535,0.54,0.07412
HD 99109 b,HD 99109 b,HD 99109,HD99109,99109,0,0.474,0.035,0.035,1.122,0.017,0.017,0.06,0.064,0.042,5323.9,82.5,0.384,0.055,4.436,0.031,0.986,0.021,0.969,0.044,5.1927,0.874,0.01822
HD 99492 b,HD 99492 b,HD 99492,HD99492,99492,0,0.0841,0.0061,0.0062,0.1231,0.0014,0.0015,0.085,0.07,0.057,4936.5,63.4,0.278,0.06,4.539,0.025,0.823,0.015,0.856,0.031,6.295,1.01,0.05491
HIP 109388 b,GJ 849 b,HIP 109388,HIP109388,hip109388,0,0.891,0.035,0.036,2.41,0.017,0.017,0.05,0.029,0.03,3562.7,30.5,0.396,0.062,4.791,0.009,0.468,0.007,0.496,0.009,10.704,1.52,0.1136
HIP 109388c,GJ 849 c,HIP 109388,HIP109388,hip109388,1,1.079,0.053,0.053,4.974,0.082,0.074,0.099,0.041,0.04,3562.7,30.5,0.396,0.062,4.791,0.009,0.468,0.007,0.496,0.009,10.704,1.52,0.1136
HIP 22627 b,GJ 179 b,HIP 22627,HIP22627,hip22627,0,0.752,0.041,0.041,2.522,0.034,0.033,0.169,0.048,0.05,3411.8,46.6,0.183,0.072,4.87,0.011,0.381,0.008,0.393,0.01,11.5428,1.6,0.0809
HIP 57050c,GJ 1148c,HIP 57050,HIP57050,hip57050,0,0.339,0.014,0.014,0.1686,0.0014,0.0014,0.366,0.027,0.028,3357.6,48.4,0.16,0.066,4.88,0.01,0.367,0.008,0.374,0.009,11.7871,1.6,0.09076
HIP 57050 b,GJ 1148 b,HIP 57050,HIP57050,hip57050,1,0.26,0.03,0.029,0.9302,0.0088,0.0086,0.27,0.14,0.17,3357.6,48.4,0.16,0.066,4.88,0.01,0.367,0.008,0.374,0.009,11.7871,1.6,0.09076
HIP 57087 b,GJ 436 b,HIP 57087,HIP57087,hip57087,0,0.0668,0.0022,0.0022,0.02849,0.0002,0.0002,0.145,0.027,0.027,3586.1,36.4,0.099,0.078,4.841,0.009,0.417,0.008,0.441,0.009,10.6301,1.52,0.1025
HIP 74995 b,GJ 581 b,HIP 74995,HIP74995,hip74995,0,0.051,0.002,0.0019,0.04099,0.00043,0.00044,0.02,0.022,0.014,3490.4,42.5,-0.088,0.074,4.942,0.013,0.315,0.007,0.319,0.01,11.5741,1.61,0.15875
HIP 74995c,GJ 581 c,HIP 74995,HIP74995,hip74995,1,0.0159,0.0022,0.0022,0.07358,0.00077,0.00078,0.12,0.12,0.084,3490.4,42.5,-0.088,0.074,4.942,0.013,0.315,0.007,0.319,0.01,11.5741,1.61,0.15875
HIP 83043 b,GJ 649 b,HIP 83043,HIP83043,hip83043,0,0.275,0.022,0.021,1.1325,0.0087,0.0087,0.17,0.1,0.1,3807.2,33.9,0.044,0.083,4.759,0.008,0.502,0.008,0.53,0.01,9.5516,1.59,0.09631
HD 111031,HD 111031,HD 111031,HD111031,111031,0,66.0,47.0,33.0,32.0,15.0,10.0,0.49,0.14,0.17,5736.6,91.8,0.272,0.06,4.281,0.029,1.253,0.03,1.099,0.045,4.4487,0.7,0.03202
HD 16160,HIP 12114,HD 16160,HD16160,16160,0,67.3,1.5,1.5,16.37,0.28,0.28,0.6427,0.0038,0.0039,4813.5,72.9,-0.036,0.073,4.584,0.018,0.731,0.012,0.752,0.026,6.5307,0.99,0.13821
HD 167215,HD 167215,HD 167215,HD167215,167215,0,201.1,4.2,4.2,7.205,0.077,0.076,0.8522,0.00059,0.00066,6113.2,96.5,-0.306,0.062,3.999,0.024,1.689,0.038,1.045,0.033,3.6224,0.48,0.0122
HD 167215,HD 167215,HD 167215,HD167215,167215,1,24.0,19.0,4.3,7.99,1.0,0.51,0.3,0.27,0.2,6113.2,96.5,-0.306,0.062,3.999,0.024,1.689,0.038,1.045,0.033,3.6224,0.48,0.0122
HD 167665,HD 167665,HD 167665,HD167665,167665,0,48.4,1.4,1.4,5.39,0.079,0.08,0.3421,0.004,0.0044,6139.0,90.5,-0.141,0.059,4.186,0.029,1.376,0.032,1.063,0.047,4.0394,0.54,0.03201
HD 18445,HIP 13769 C,HD 18445,HD18445,18445,0,33.8,7.0,4.3,1.209,0.016,0.017,0.67,0.12,0.098,4880.8,99.0,-0.06,0.06,4.587,0.027,0.736,0.027,0.766,0.03,5.7281,0.94,6.98421
HD 190406,HIP 98819,HD 190406,HD190406,190406,0,67.4,2.0,2.0,15.54,0.32,0.31,0.4618,0.0054,0.0053,5932.0,81.3,0.051,0.057,4.404,0.03,1.072,0.025,1.07,0.044,4.5641,0.61,0.05643
HD 211681,HD 211681,HD 211681,HD211681,211681,0,76.4,3.3,3.2,7.79,0.21,0.19,0.4413,0.0076,0.0064,5708.6,79.9,0.354,0.056,4.082,0.035,1.672,0.039,1.237,0.072,3.8476,0.7,0.01382
HD 239960,HIP 110893 A,HD 239960,HD239960,239960,0,54.0,10.0,13.0,15.1,7.1,5.0,0.61,0.11,0.14,3493.3,52.1,-0.066,0.078,4.932,0.013,0.326,0.009,0.333,0.011,11.5755,1.65,0.24994
HD 4747,HIP 3850,HD 4747,HD4747,4747,0,49.2,1.6,1.6,9.85,0.17,0.17,0.731,0.0015,0.0015,5331.9,74.7,-0.166,0.058,4.557,0.026,0.794,0.015,0.832,0.033,5.7951,0.77,0.05318
HD 68017,HIP 40118,HD 68017,HD68017,68017,0,33.8,5.7,5.8,21.2,4.8,4.4,0.432,0.075,0.09,5712.4,48.6,-0.324,0.06,4.381,0.016,0.961,0.018,0.815,0.014,5.1261,0.69,0.04633
HD 8765,HD 8765,HD 8765,HD8765,8765,0,43.0,1.5,1.5,3.356,0.05,0.052,0.3936,0.0099,0.0095,5658.0,94.8,0.223,0.061,4.341,0.035,1.133,0.034,1.033,0.047,3.7709,0.69,0.02047
HIP 63510,HIP 63510,HIP 63510,HIP63510,hip63510,0,74.1,3.1,3.2,4.775,0.057,0.054,0.309,0.028,0.025,3833.4,31.6,0.247,0.08,4.713,0.01,0.558,0.008,0.587,0.011,9.43,1.45,0.08686
